Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-05-01 00:00:00-04:00,4166.7900390625,4186.919921875,4164.1201171875,4167.8701171875,3321370000,0.0,0.0
2023-05-02 00:00:00-04:00,4164.10009765625,4164.10009765625,4089.719970703125,4119.580078125,4486130000,0.0,0.0
2023-05-03 00:00:00-04:00,4122.25,4148.2998046875,4088.860107421875,4090.75,4246510000,0.0,0.0
2023-05-04 00:00:00-04:00,4082.550048828125,4082.610107421875,4048.280029296875,4061.219970703125,4920090000,0.0,0.0
2023-05-05 00:00:00-04:00,4084.72998046875,4147.02001953125,4084.72998046875,4136.25,4186270000,0.0,0.0
2023-05-08 00:00:00-04:00,4136.97998046875,4142.2998046875,4123.81005859375,4138.1201171875,3641640000,0.0,0.0
2023-05-09 00:00:00-04:00,4124.25,4130.35009765625,4116.64990234375,4119.169921875,3810140000,0.0,0.0
2023-05-10 00:00:00-04:00,4143.740234375,4154.27978515625,4098.919921875,4137.64013671875,4057160000,0.0,0.0
2023-05-11 00:00:00-04:00,4132.240234375,4132.7998046875,4109.2900390625,4130.6201171875,3752900000,0.0,0.0
2023-05-12 00:00:00-04:00,4138.5400390625,4143.740234375,4099.1201171875,4124.080078125,3533740000,0.0,0.0
2023-05-15 00:00:00-04:00,4126.64990234375,4141.25,4110.27001953125,4136.27978515625,3562170000,0.0,0.0
2023-05-16 00:00:00-04:00,4127.9501953125,4135.5400390625,4109.85986328125,4109.89990234375,3654200000,0.0,0.0
2023-05-17 00:00:00-04:00,4122.85009765625,4164.669921875,4113.6201171875,4158.77001953125,4039080000,0.0,0.0
2023-05-18 00:00:00-04:00,4157.68017578125,4202.2001953125,4153.5,4198.0498046875,3980500000,0.0,0.0
2023-05-19 00:00:00-04:00,4204.14990234375,4212.91015625,4180.2001953125,4191.97998046875,4041900000,0.0,0.0
2023-05-22 00:00:00-04:00,4190.77978515625,4209.22021484375,4179.68017578125,4192.6298828125,3728520000,0.0,0.0
2023-05-23 00:00:00-04:00,4176.7998046875,4185.68017578125,4142.5400390625,4145.580078125,4155320000,0.0,0.0
2023-05-24 00:00:00-04:00,4132.9599609375,4132.9599609375,4103.97998046875,4115.240234375,3739160000,0.0,0.0
2023-05-25 00:00:00-04:00,4155.7099609375,4165.740234375,4129.72998046875,4151.27978515625,4147760000,0.0,0.0
2023-05-26 00:00:00-04:00,4156.16015625,4212.8701171875,4156.16015625,4205.4501953125,3715460000,0.0,0.0
2023-05-30 00:00:00-04:00,4226.7099609375,4231.10009765625,4192.18017578125,4205.52001953125,4228510000,0.0,0.0
2023-05-31 00:00:00-04:00,4190.740234375,4195.43994140625,4166.14990234375,4179.830078125,5980670000,0.0,0.0
2023-06-01 00:00:00-04:00,4183.02978515625,4232.43017578125,4171.64013671875,4221.02001953125,4391860000,0.0,0.0
2023-06-02 00:00:00-04:00,4241.009765625,4290.669921875,4241.009765625,4282.3701171875,4454200000,0.0,0.0
